,example_index,input_prompt,predicted_text,decode_method,temperature,model,prompt_type,meaning,predicted_meaning,gt_meaning,lyrics,artist,title
90,1207,"<|startoftext|> lyrics: From underneath the rubble, sing a rebel song. meaning:","<|startoftext|> lyrics: From underneath the rubble, sing a rebel song. meaning: Offended with how the “real insecurities” of life are taking over your mind, you’re singing out against them. ",sampling,0.95,gpt2-medium,lyrics_meaning,," Offended with how the “real insecurities” of life are taking over your mind, you’re singing out against them. ","Up until now he has felt overwhelmed with burdens. His life is like a wreck, that as broken down around him. But when he listens to the songs he loves he feels energized – as though he can pick up the pieces of his life again. He sings a “rebel song” because he is rebelling against life getting him down. He refuses to give up.","From underneath the rubble, sing a rebel song",Coldplay,Every Teardrop Is a Waterfall
91,2207,<|startoftext|> lyrics: No such zone. meaning:,"<|startoftext|> lyrics: No such zone. meaning: no bullshit
is how everyday life functions so it’s gonna continue no matter what
you gotta get real.

As it shows the cards his world has in its hand, the first two lines are a great start but it shows the lack of confidence he feels in his life is moving too fast.

At this point in the song he’s seeing all the mad opinions of other influencers and people telling him how he and his girl do not make it. ",sampling,0.95,gpt2-medium,lyrics_meaning,," no bullshit
is how everyday life functions so it’s gonna continue no matter what
you gotta get real.

As it shows the cards his world has in its hand, the first two lines are a great start but it shows the lack of confidence he feels in his life is moving too fast.

At this point in the song he’s seeing all the mad opinions of other influencers and people telling him how he and his girl do not make it. ","The phrase “no such zone” in the song refers to U.S. postal zones, a predecessor of the current U.S. ZIP Code (an acronym of Zone Improvement Plan). A postal zone was a one- or two-digit number written between the city and state (“New York 1, NY”), whereas a ZIP Code is a five- or nine-digit number written after the state (“New York, NY 10001”).",No such zone,Elvis Presley,Return to Sender
92,3207,"<|startoftext|> lyrics: Sittin’ on the counter in your kitchen
 Can you hear my heartbeat fucking kickin’?
 Your eyes light up ’cause you best believe that I got something up my sleeve
 I walk my talk, no time for wishful thinking
 I push up on my toes, you call me “sweet thing”
 I’m breathing down your neck, your body screaming
 And you thought that you were the boss tonight, but I can put up one good fight
 I flip the script like I can take a beating. meaning:","<|startoftext|> lyrics: Sittin’ on the counter in your kitchen
 Can you hear my heartbeat fucking kickin’?
 Your eyes light up ’cause you best believe that I got something up my sleeve
 I walk my talk, no time for wishful thinking
 I push up on my toes, you call me “sweet thing”
 I’m breathing down your neck, your body screaming
 And you thought that you were the boss tonight, but I can put up one good fight
 I flip the script like I can take a beating. meaning: Both in a literal sense and a psychological / entrapment sense of society

Elaborating on the trap/consciousness of being exploited in relationships ",sampling,0.95,gpt2-medium,lyrics_meaning,," Both in a literal sense and a psychological / entrapment sense of society

Elaborating on the trap/consciousness of being exploited in relationships ","This may be Halsey’s version of the party scene from Romeo + Juliet, where the star-crossed lovers experience love at first sight. In the literal “script” of Romeo + Juliet, Tybalt spots Romeo with Juliet and immediately wants to fight him:

https://www.youtube.com/watch?v=8JoOpx6VwHk

Solis and Luna’s fight is a metaphorical one, though, referring to their sexually-charged interaction. “If you talk the talk, you’d better walk the walk” is an idiom meaning you have to back up your claims with actions—Solis doesn’t just say he’ll take control, he gets physical and asserts his dominance.

But “flip the script” means to reverse expectations, and Solis being willing to “take a beating” in this context means he’s not afraid to take a submissive role either.

“Flip the script” also refers to the fact that Halsey gender-swapped Romeo and Juliet to create Solis and Luna.","Sittin’ on the counter in your kitchen
 Can you hear my heartbeat fucking kickin’?
 Your eyes light up ’cause you best believe that I got something up my sleeve
 I walk my talk, no time for wishful thinking
 I push up on my toes, you call me “sweet thing”
 I’m breathing down your neck, your body screaming
 And you thought that you were the boss tonight, but I can put up one good fight
 I flip the script like I can take a beating",Halsey,Heaven in Hiding
93,4207,"<|startoftext|> lyrics: Boo, let’s get acquainted (What?). meaning:","<|startoftext|> lyrics: Boo, let’s get acquainted (What?). meaning: That’s when the real me comes out
 And the real us takes the scream out
 So “let’s get acquainted” (You've got it right there!) ",sampling,0.95,gpt2-medium,lyrics_meaning,," That’s when the real me comes out
 And the real us takes the scream out
 So “let’s get acquainted” (You've got it right there!) ","This line might be a reference to “Acquainted” by The Weeknd. In May 2017, Lana discussed her friendship with Abel in an interview with the Rolling  Stones:

He’s kind of the reason I was ever on the radio like six years ago. He started posting all my videos on his Tumblr and social media … He’s been in touch with me ever since then. He’s always been really supportive. He had his own path, which led him to this place that’s crazy big. But we’ve just been friends for maybe the past six years.","Boo, let’s get acquainted (What?)",Lana Del Rey,Summer Bummer
94,5207,"<|startoftext|> lyrics: Yo, as long as you know he got the baddest, I’m flattered
 I’m the only one that he answers to. meaning:","<|startoftext|> lyrics: Yo, as long as you know he got the baddest, I’m flattered
 I’m the only one that he answers to. meaning: I’m the only one he calls and he calls back to me like I’m the Rain Man. The Roc God and Eminem have since gotten together. This may be very slight, but the Roc God had a cypher in late 2002 when the Lucs signed him to their label. “L.O.D.” and I Got It from Dr. Dre. He wanted a Roc genius in these days of rap, so he picked me and I played it off.

My Kim Kardashian sisters have  rehabbed with Dr. Dre and produced my song “Panda” and never even been with the",sampling,0.95,gpt2-medium,lyrics_meaning,," I’m the only one he calls and he calls back to me like I’m the Rain Man. The Roc God and Eminem have since gotten together. This may be very slight, but the Roc God had a cypher in late 2002 when the Lucs signed him to their label. “L.O.D.” and I Got It from Dr. Dre. He wanted a Roc genius in these days of rap, so he picked me and I played it off.

My Kim Kardashian sisters have  rehabbed with Dr. Dre and produced my song “Panda” and never even been with the",Nicki is the only one her man answers to because he knows she’s the only woman he needs.,"Yo, as long as you know he got the baddest, I’m flattered
 I’m the only one that he answers to",Maroon 5,Sugar (Remix)
95,6207,"<|startoftext|> lyrics: Its preparations are concealed, not published
 Its mistakes are buried, not headlined
 Its dissenters are silenced, not praised. meaning:","<|startoftext|> lyrics: Its preparations are concealed, not published
 Its mistakes are buried, not headlined
 Its dissenters are silenced, not praised. meaning: A beautiful song very likely would include small inconsistencies (such as the hymnal being sung backwards or the chorus being sung mixed in with the rest of the song, in “Ordinary Times»). Maybe they wanted to put on a ceremony or something similar, but the sincerity felt from these, couldnt possibly match the attempt they made.

…might be for the story of Elephanta’s Irish verse ",sampling,0.95,gpt2-medium,lyrics_meaning,," A beautiful song very likely would include small inconsistencies (such as the hymnal being sung backwards or the chorus being sung mixed in with the rest of the song, in “Ordinary Times»). Maybe they wanted to put on a ceremony or something similar, but the sincerity felt from these, couldnt possibly match the attempt they made.

…might be for the story of Elephanta’s Irish verse ","These lines highlight the fact that it is no longer just the totalitarian communist governments of JFK’s time in his speech that are taking part in these acts of silencing dissent and mistakes. It is instead governments of the developed world, including the United States and Britain, who continue to do this in today’s world.

The music video includes a shot of whistleblower Edward Snowden’s face, an Anonymous hacker, and Martin Luther King Jr.","Its preparations are concealed, not published
 Its mistakes are buried, not headlined
 Its dissenters are silenced, not praised",Muse,[JFK]
96,7207,"<|startoftext|> lyrics: One tries to fly away
 And the other watches him close from that wire
 He says he wants to as well
 But he is a liar. meaning:","<|startoftext|> lyrics: One tries to fly away
 And the other watches him close from that wire
 He says he wants to as well
 But he is a liar. meaning: He hides away from the unb__________________",sampling,0.95,gpt2-medium,lyrics_meaning,, He hides away from the unb__________________,"One of the two friends decides they want to make something of themselves, to move forward and leave the place they’re in, be it physical or metaphorical. The other friend claims they share the same dream and ambition but in truth is probably too afraid to leave the safety of the “wire”. As this person is clinging to the comfort they feel in their present situation, they prevent them both from ‘flying away’ or progressing together.","One tries to fly away
 And the other watches him close from that wire
 He says he wants to as well
 But he is a liar",Regina Spektor,Two Birds
97,8207,"<|startoftext|> lyrics: Killing all in his path, save for that which he longs
 King Kooonnnng!. meaning:","<|startoftext|> lyrics: Killing all in his path, save for that which he longs
 King Kooonnnng!. meaning: The people are a bunch of greedy little hillbillies. dream image: (cacao)

This is sad, dejected sound ",sampling,0.95,gpt2-medium,lyrics_meaning,," The people are a bunch of greedy little hillbillies. dream image: (cacao)

This is sad, dejected sound ","Here is started a epic orchestral part, with all the drums, like the drum, and violins, flautes and many epic instruments for an allusion to Kong.

LONG LIVE KING KONG!","Killing all in his path, save for that which he longs
 King Kooonnnng!",Tenacious D,Kong
98,9207,"<|startoftext|> lyrics: We’re still building and burning down love
 Burning down love
 And when I go there
 I go there with you
 It’s all I can do. meaning:","<|startoftext|> lyrics: We’re still building and burning down love
 Burning down love
 And when I go there
 I go there with you
 It’s all I can do. meaning: We’re still building and burning down love
 Burning down love
 And when I go there
 I go there with you
 It’s all I can do. ",sampling,0.95,gpt2-medium,lyrics_meaning,," We’re still building and burning down love
 Burning down love
 And when I go there
 I go there with you
 It’s all I can do. ","Relationships are a work in progress. You never achieve perfection. It’s a process of building and tearing down again to start anew.
In the end I’m made my choice to be with you. There is no one else I would want to be on this journey with.","We’re still building and burning down love
 Burning down love
 And when I go there
 I go there with you
 It’s all I can do",U2,Where the Streets Have No Name
99,10207,"<|startoftext|> lyrics: I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you
 I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you. meaning:","<|startoftext|> lyrics: I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you
 I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you. meaning: these people are like human flaws; moreover they have flaws and can be realized in their greatest state by the one that loves them.
Bella Hadid made a flirty skit about her dating style.
Heaven is a better place for romance, love or just a mood. If I am undone it’s always fucking tempting to say “I’m terrible (Ooh)”

Artemis is a popular feminist artist at the studio.

I’m just a guy in a stupid suits, I can’t be liked or loved as much ",sampling,0.95,gpt2-medium,lyrics_meaning,," these people are like human flaws; moreover they have flaws and can be realized in their greatest state by the one that loves them.
Bella Hadid made a flirty skit about her dating style.
Heaven is a better place for romance, love or just a mood. If I am undone it’s always fucking tempting to say “I’m terrible (Ooh)”

Artemis is a popular feminist artist at the studio.

I’m just a guy in a stupid suits, I can’t be liked or loved as much ","We all make mistakes, every one of us. And if you love someone and they truly love you, you would hope they can accept you with all those flaws that every single one of us has.

Here the realization stage has hit home and I’m just wanting reassurance and forgiveness from the person that really has my heart. There’s no such thing as perfection, but we can all try to be better people can’t we?","I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you
 I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you",Flume,Never Be Like You
100,11207,<|startoftext|> lyrics: You did this to us! You did it! It’s your fault!. meaning:,<|startoftext|> lyrics: You did this to us! You did it! It’s your fault!. meaning: The protestors are showing their support and joining the revolution in some way. ,sampling,0.95,gpt2-medium,lyrics_meaning,, The protestors are showing their support and joining the revolution in some way. ,"In the mindstate that Eminem is at this point, is typical to blame others for things they do themselves. Helps them do anything as they are absolved from any fault.",You did this to us! You did it! It’s your fault!,Eminem,Kim
101,12207,"<|startoftext|> lyrics: I came fluttering in from Neverland
 Time can never stop me, no, no, no, no
 I know you’ve tried to. meaning:","<|startoftext|> lyrics: I came fluttering in from Neverland
 Time can never stop me, no, no, no, no
 I know you’ve tried to. meaning: time cannot equal out so fail some plan, let go of hope, I’ma stay at your side. to completely convince people that one should not relavance, we need to get to the bottom of this. with the coming all-outness of war, one can’t sit and let it pass. We should act. ",sampling,0.95,gpt2-medium,lyrics_meaning,," time cannot equal out so fail some plan, let go of hope, I’ma stay at your side. to completely convince people that one should not relavance, we need to get to the bottom of this. with the coming all-outness of war, one can’t sit and let it pass. We should act. ","In Neverland, the location for J.M Barrie’s Peter Pan, people don’t grow old. Rihanna feels as if she just came from Neverland because she hasn’t changed over time.



This is the first time we hear about the toxic relationship Rihanna and SZA sing about. Time may not stop RiRi, but the figure she sings to is restraining her. Successful or not, they’re putting an effort to stop her.","I came fluttering in from Neverland
 Time can never stop me, no, no, no, no
 I know you’ve tried to",Rihanna,Consideration
102,1158,"<|startoftext|> lyrics: And in the end, you’ll have your best friend. meaning:","<|startoftext|> lyrics: And in the end, you’ll have your best friend. meaning: All your enemies will eventually be the best friends of your love interest. ",top-k sampling,0.95,gpt2-medium,lyrics_meaning,, All your enemies will eventually be the best friends of your love interest. ,a relationship is best when you can treat each other like best friends,"And in the end, you’ll have your best friend",Christina Perri,​penguin
103,2907,"<|startoftext|> lyrics: Lovely Rita, meter maid
 Lovely Rita, meter maid. meaning:","<|startoftext|> lyrics: Lovely Rita, meter maid
 Lovely Rita, meter maid. meaning: The most nice girl Rita could have asked for. ",top-k sampling,0.95,gpt2-medium,lyrics_meaning,, The most nice girl Rita could have asked for. ,"2D interpolates the chorus of legendary English band The Beatles‘ June 1967 track “Lovely Rita.” The band has taken inspiration from The Beatles many times before, exemplified by the cover art of their May 2005 record Demon Days, which drew many comparisons to the art of The Beatles’ May 1970 record, Let It Be:



When asked “Who’s Rita?” by BBC Radio 1’s Annie Mac, the group said:

It’s a lovely name to sing… I sort of think it’s about instant gratification, it doesn’t last. And there’s lots of that around today.","Lovely Rita, meter maid
 Lovely Rita, meter maid",Gorillaz,Momentary Bliss
104,3004,"<|startoftext|> lyrics: Forget Karate Kid and these wooden blocks, I chop through concrete
 Concrete, concrete, concrete!. meaning:","<|startoftext|> lyrics: Forget Karate Kid and these wooden blocks, I chop through concrete
 Concrete, concrete, concrete!. meaning: With the tools he has, he is now able to take down anyone that stands in the way of his style and his goals. He can become anybody he wishes to be, and no one will stand in his way. He doesn’t care if they want him to be just a man, or get a real job, or give up his life and dreams.

‘The wooden blocks’ might be taken to be a metaphorical description of the metal plates on the table which he uses to chop/break down/methanolate the concrete. ",top-k sampling,0.95,gpt2-medium,lyrics_meaning,," With the tools he has, he is now able to take down anyone that stands in the way of his style and his goals. He can become anybody he wishes to be, and no one will stand in his way. He doesn’t care if they want him to be just a man, or get a real job, or give up his life and dreams.

‘The wooden blocks’ might be taken to be a metaphorical description of the metal plates on the table which he uses to chop/break down/methanolate the concrete. ","Continuing with the martial arts movie metaphors, his prowess is on a whole other level.

Your Rhymes:



His Rhymes:","Forget Karate Kid and these wooden blocks, I chop through concrete
 Concrete, concrete, concrete!",Gorillaz,Clint Eastwood (Phi Life Cypher Version)
105,4004,"<|startoftext|> lyrics: She said, “’Cause He made you perfect, babe”. meaning:","<|startoftext|> lyrics: She said, “’Cause He made you perfect, babe”. meaning: She doesn’t see anything wrong.” She wants to be your perfection, to see every detail. To be a perfect human in her eyes, which is why she wants him, she wants it, doesn’t want any other way to be. ",top-k sampling,0.95,gpt2-medium,lyrics_meaning,," She doesn’t see anything wrong.” She wants to be your perfection, to see every detail. To be a perfect human in her eyes, which is why she wants him, she wants it, doesn’t want any other way to be. ",“Cause he made you perfect” is a direct reference to God and the perception that he made everybody in his image. It emphasizes the fact that everyone is perfect in their own way.,"She said, “’Cause He made you perfect, babe”",Lady Gaga,Born This Way
106,6608,"<|startoftext|> lyrics: All in all, you’re just another brick in the wall. meaning:","<|startoftext|> lyrics: All in all, you’re just another brick in the wall. meaning: They are not the kind of people that live the simple life or that can live with their mistakes or the mistakes that they did make. Also as you can see in the bridge, they’re all made of steel. Therefore you see more than the brick in the wall, you see the potential in them all. ",top-k sampling,0.95,gpt2-medium,lyrics_meaning,," They are not the kind of people that live the simple life or that can live with their mistakes or the mistakes that they did make. Also as you can see in the bridge, they’re all made of steel. Therefore you see more than the brick in the wall, you see the potential in them all. ","As represented by the children in large cubicles, and later faceless masks, they became an amorphous, indistinguishable mass, akin to a brick wall.



This can also be taken as a sort of dismissal of the teacher’s authority – “you are no better than me or anyone else. You are using your age and position of power to take advantage of me” (and the previous song shows that in their homes, the teacher would’ve been subdued by their wives).  In Pink’s point of view, the teacher’s abuse is another brick  that helped him build the Wall that separated him from everyone else (“you are another mental scar that will effect how I am and how I treat others in the future”).","All in all, you’re just another brick in the wall",Pink Floyd,"Another Brick in the Wall, Pt. 2"
107,8000,"<|startoftext|> lyrics: I ask the traffic lights if it’ll be alright
 They say, “I don’t know”. meaning:","<|startoftext|> lyrics: I ask the traffic lights if it’ll be alright
 They say, “I don’t know”. meaning: They aren’t so sure of itself. ",top-k sampling,0.95,gpt2-medium,lyrics_meaning,, They aren’t so sure of itself. ,"In a tumblr post, Taylor explained the meaning behind this peculiar phrase:

[it’s] like how when you’re struggling through something time slows down and everything is a sign and you’ll take advice from a tree because you’re just GOIN THROUGH IT MAN.

She mentioned that she enjoys the memes fans have created for the line.



It also links back to “Cornelia Street,” the previous song, in which Swift sings:

As if the street lights pointed in an arrow head
Leading us home

If the relationship ends, not only will she never walk Cornelia Street again, but she will also be lost without the traffic lights to guide her.

Asking the traffic lights shows her desperation and lack of direction because it implies that she is so desperate for a sign, that she is willing to look anywhere.","I ask the traffic lights if it’ll be alright
 They say, “I don’t know”",Taylor Swift,Death by a Thousand Cuts
108,8009,"<|startoftext|> lyrics: And if this is the long haul
 How’d we get here so soon?. meaning:","<|startoftext|> lyrics: And if this is the long haul
 How’d we get here so soon?. meaning: You’ve still got a lot of miles to go when you’re on a tight schedule. As a matter of fact you should always be thinking of your future, whether it be on a vacation or a holiday. Or even a weekend. And if you’re travelling in the back seat in a car without a window, you might still end up needing a passenger. And who doesn’t need a driver?

I really liked the lyrics and this line to this song, because they’re kind of an extended description of your life. When you’re a young teen, you can come home and think",top-k sampling,0.95,gpt2-medium,lyrics_meaning,," You’ve still got a lot of miles to go when you’re on a tight schedule. As a matter of fact you should always be thinking of your future, whether it be on a vacation or a holiday. Or even a weekend. And if you’re travelling in the back seat in a car without a window, you might still end up needing a passenger. And who doesn’t need a driver?

I really liked the lyrics and this line to this song, because they’re kind of an extended description of your life. When you’re a young teen, you can come home and think","The reference to ‘the long haul’ suggests that they assumed their relationship would be forever, and the narrator seems confused, asking ‘how’d we get here so soon?’ The ‘here’ she refers to could be the here on the verge of their break up, or just the part in their relationship where she feels alone","And if this is the long haul
 How’d we get here so soon?",Taylor Swift,​coney island
109,10003,"<|startoftext|> lyrics: I know that you’re hesitating because even if you say the truth
 In the end it will all return as scars. meaning:","<|startoftext|> lyrics: I know that you’re hesitating because even if you say the truth
 In the end it will all return as scars. meaning: There always lies about you and your truth and I believe in it but not yet. The truth is about how you were created to be who you are with someone else and you are not ready to be honest with that. ",top-k sampling,0.95,gpt2-medium,lyrics_meaning,, There always lies about you and your truth and I believe in it but not yet. The truth is about how you were created to be who you are with someone else and you are not ready to be honest with that. ,Because there is no point in saying the truth cause even bitter truth will scar your soul as u r saying it and it will scar the person and ur relationship as well,"I know that you’re hesitating because even if you say the truth
 In the end it will all return as scars",Genius English Translations,BTS - Magic Shop (English Translation)
110,11008,<|startoftext|> lyrics: [Interlude]. meaning:,"<|startoftext|> lyrics: [Interlude]. meaning: You’re my little brother
 There’s the one thing in this world I want. answer: This is an innuendo that makes a comparison. He feels bad for thinking that he’s the one leaving it behind, but it’s a way for him to say his goodbye. But he doesn’t know where they are heading.

He’s not sure where they are going, but it means that he cares a bit less about what happens. He knows his brother or sister doesn’t love him like they did before “the last time” and he just wants them to",top-k sampling,0.95,gpt2-medium,lyrics_meaning,," You’re my little brother
 There’s the one thing in this world I want. answer: This is an innuendo that makes a comparison. He feels bad for thinking that he’s the one leaving it behind, but it’s a way for him to say his goodbye. But he doesn’t know where they are heading.

He’s not sure where they are going, but it means that he cares a bit less about what happens. He knows his brother or sister doesn’t love him like they did before “the last time” and he just wants them to","The audio clip here is taken from a fight on June 27, 2016 before a concert due to a failed collaboration with rapper @Not_Linden. X then went to his show and “sucker punched” him, to which they continued to fight outside, with X winning in the end.

https://twitter.com/Not_Linden/status/747986526110425088",[Interlude],XXXTENTACION,YuNg BrAtZ
111,12005,"<|startoftext|> lyrics: Well, he seemed broken hearted
 Somethin’ within him. meaning:","<|startoftext|> lyrics: Well, he seemed broken hearted
 Somethin’ within him. meaning: he was broken hearted and he’d do whatever it took to get what he wanted.



 


The answer is: he was broke hearted, meaning he hated what he did and is fighting for himself. However, his ego isn’t big enough to handle the guilt that the other side is putting him through. ",top-k sampling,0.95,gpt2-medium,lyrics_meaning,," he was broken hearted and he’d do whatever it took to get what he wanted.



 


The answer is: he was broke hearted, meaning he hated what he did and is fighting for himself. However, his ego isn’t big enough to handle the guilt that the other side is putting him through. ","Nicks told Billboard that this lyric was inspired by Tom Petty:

‘Edge of Seventeen’ is also a little bit about Tom. ‘He seemed broken hearted/Somethin’ within him,‘ that was [his wife] Jane talking about Tom. I bet a lot of people thought I was talking about me, but I was chronicling their relationship as she told it to me.

She also explained how Jane inspired the song’s title:

I asked Tom’s wife, Jane, when she met him. She said, ‘I met him at some point during the age of 17.’ But I thought she said, ‘The edge of 17.’ I said, ‘Jane, can I use that? Can I write a song called “Edge of Seventeen”?’","Well, he seemed broken hearted
 Somethin’ within him",Stevie Nicks,Edge of Seventeen
112,1001,"<|startoftext|> lyrics: Here I go, on my own
 I don’t need nobody, better off alone
 Here I go, on my own now
 I don’t need nobody, not anybody
 Here I go (Here I go, here I go, here I go...). meaning:","<|startoftext|> lyrics: Here I go, on my own
 I don’t need nobody, better off alone
 Here I go, on my own now
 I don’t need nobody, not anybody
 Here I go (Here I go, here I go, here I go...). meaning: I don’t need nobody
I don’t need nobody
I don’t need nobody. answer: We’re in the first verse after the first chorus, and the whole song does not begin the same way. ",top-k sampling,0.95,gpt2-medium,lyrics_meaning,," I don’t need nobody
I don’t need nobody
I don’t need nobody. answer: We’re in the first verse after the first chorus, and the whole song does not begin the same way. ","Britney is ready to be a fully in control of her craft, without her management team pressurizing and influencing her decisions. She also started to write her own songs, most notably on her fourth studio album, In The Zone.

At some point, she also wanted to create her own record label.","Here I go, on my own
 I don’t need nobody, better off alone
 Here I go, on my own now
 I don’t need nobody, not anybody
 Here I go (Here I go, here I go, here I go...)",Britney Spears,Stronger
113,12003,"<|startoftext|> lyrics: Well, I won’t back down
 No, I won’t back down
 You can stand me up at the gates of hell
 But I won’t back down. meaning:","<|startoftext|> lyrics: Well, I won’t back down
 No, I won’t back down
 You can stand me up at the gates of hell
 But I won’t back down. meaning: You can back him down, but the people who you care about, those who love him, will still have to fight for him. ",top-k sampling,0.95,gpt2-medium,lyrics_meaning,," You can back him down, but the people who you care about, those who love him, will still have to fight for him. ","Everyone of us experiences failure, rejection and negativism. Petty has experienced it in his own life, from music critics to obsessed fans.
His advice is to focus on your goal and how you’re going to get there.



– Just beyond the gates of hell","Well, I won’t back down
 No, I won’t back down
 You can stand me up at the gates of hell
 But I won’t back down",Tom Petty,I Won’t Back Down
114,3001,"<|startoftext|> lyrics: I been stoned; ever since the days of creation, I’ve been red. meaning:","<|startoftext|> lyrics: I been stoned; ever since the days of creation, I’ve been red. meaning: 
I haven’t taken my eyes off of nature. ",top-k sampling,0.95,gpt2-medium,lyrics_meaning,," 
I haven’t taken my eyes off of nature. ","He is talking about how he is always high but the wordplay may actually go deeper.

“Stoned ever since the days of creation” could be a historical reference to the Stone Age, one of the earliest times for mankind, named after primitive humans creating stone tools. This could tie in with the Flintstones reference from earlier.

It could also be biblical, as the “days of creation” in the Bible are the days in which God created the universe. The “been stoned” part may be a reference to John 8:7 from the Bible, which says “Let any one of you who is without sin be the first to throw a stone at her”. The verse means that you shouldn’t shame others if you aren’t perfect yourself. Phi could be referencing it to say that either he gets shunned for his drug-addicted lifestyle when it isn’t much worse than anyone else’s or it’s a reference to racism and prejudice against black communities. “I’ve been red” is a homophone for “I’ve been read” which could mean that Phi is a religious guy hence the references. Many black communities are heavily into Christianity so it wouldn’t be a shock.","I been stoned; ever since the days of creation, I’ve been red",Gorillaz,Clint Eastwood (Phi Life Cypher Version)
115,4001,"<|startoftext|> lyrics: I’m gonna wear the tie, want the power to leave you
 I’m aimin’ for full control of this love (Of this love). meaning:","<|startoftext|> lyrics: I’m gonna wear the tie, want the power to leave you
 I’m aimin’ for full control of this love (Of this love). meaning: I’m gonna wear this lace shirt, and you’re just sitting next to me
 I’m goin’ crazy for your mane and you’re just sitting next to me
 I’m gonna have my way with you, and you’re just sitin' next to me. answer: Lana will be with the man – either as her lover or as a lover she already knows.

In this first verse, Lana may be questioning if she’s capable of going into an emotional state with her lover, or if she’s just in love with his mane.",top-k sampling,0.95,gpt2-medium,lyrics_meaning,," I’m gonna wear this lace shirt, and you’re just sitting next to me
 I’m goin’ crazy for your mane and you’re just sitting next to me
 I’m gonna have my way with you, and you’re just sitin' next to me. answer: Lana will be with the man – either as her lover or as a lover she already knows.

In this first verse, Lana may be questioning if she’s capable of going into an emotional state with her lover, or if she’s just in love with his mane.","Gaga wears the pants in this relationship, as guys are traditionally the dominant partner, and they traditionally wear ties.



However, in a conversation with Mirror, Gaga admitted that, at least in her relationship to Taylor Kinney, the case might be a little different:

He is totally in charge. I mean when I am home I am like, shoes are off, I’m making him dinner.","I’m gonna wear the tie, want the power to leave you
 I’m aimin’ for full control of this love (Of this love)",Lady Gaga,G.U.Y.
116,5001,"<|startoftext|> lyrics: Soon all that Gucci don’t fit, now you out of dough
 One day your pocket’s alright now they all wrong. meaning:","<|startoftext|> lyrics: Soon all that Gucci don’t fit, now you out of dough
 One day your pocket’s alright now they all wrong. meaning: “Soon all that Gucci doesn’t fit” “out of dough” means “one day Gucci’s out of dough” the first thing to make you realize that you can wear them justifiably with no issues are the designer’s design flaw


He is making Gucci get what they want and make you feel that there is a price you need to pay before it will have no effect on you. ",top-k sampling,0.95,gpt2-medium,lyrics_meaning,," “Soon all that Gucci doesn’t fit” “out of dough” means “one day Gucci’s out of dough” the first thing to make you realize that you can wear them justifiably with no issues are the designer’s design flaw


He is making Gucci get what they want and make you feel that there is a price you need to pay before it will have no effect on you. ","A rare Ludacris Double Meaning!!

Purchasing Gucci clothing is an expensive habit, which ties back in with the theme of the song.

Ludacris spins this in two ways. Firstly, he explains that when you’re hot, and you’re relevant in the game, your money is good and your figure is good, the Gucci fits perfectly over your sculpted frame. However, when you fall off (in both a physical and metaphorical sense), your game is much less tight than it was. All of a sudden, that Gucci doesn’t physically fit, nor does it fit with your image. It becomes worthless.

He plays on the word “pockets” to mean both the pockets on your expensive clothing not working anymore, and to indicate you no longer have the bank-roll you once did.","Soon all that Gucci don’t fit, now you out of dough
 One day your pocket’s alright now they all wrong",Ludacris,Money
117,6001,<|startoftext|> lyrics: He wanna taste of my goodies. meaning:,<|startoftext|> lyrics: He wanna taste of my goodies. meaning:“If I got a little bit of you” is a clever line to put in here. ,top-k sampling,0.95,gpt2-medium,lyrics_meaning,,“If I got a little bit of you” is a clever line to put in here. ,"In 2004, Ciara dropped her album and chart-topping single, “Goodies.” Since then, a girl’s body and everything that comes with it is known as her goodies. Ciara and Missy are also really good friends, collaborating on Ciara’s “1, 2 Step” and Missy’s “Lose Control” a year later.",He wanna taste of my goodies,Missy Elliott,DripDemeanor
118,7001,"<|startoftext|> lyrics: Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire. meaning:","<|startoftext|> lyrics: Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire. meaning: If the fire has taken him to Hell, he must find a way out of it alive. ",top-k sampling,0.95,gpt2-medium,lyrics_meaning,," If the fire has taken him to Hell, he must find a way out of it alive. ",People are in the midst of a society that is destroying their interests (‘the fire’) and the speaker who represents the powers that be is encouraging them to be complacent (‘sleep now’).,"Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire",Rage Against the Machine,Sleep Now in the Fire
